p0_rank,p1_rank,p0_odds,p1_odds,tourney_date,winner
12.0,78.0,1.3,3.4,2019-02-18,0.0
46.0,66.0,1.25,3.75,2011-07-04,0.0
16.0,75.0,1.22,4.0,2007-05-20,1.0
54.0,99.0,1.66,2.2,2022-01-17,0.0
27.0,64.0,1.4,3.0,2018-01-15,0.0
34.0,128.0,1.25,3.75,2020-02-17,1.0
77.0,108.0,4.5,1.18,2016-09-19,1.0
1.0,61.0,1.01,26.0,2021-02-08,0.0
29.0,53.0,1.3,3.5,2022-01-17,0.0
102.0,119.0,3.0,1.36,2011-02-21,1.0
3.0,30.0,1.14,5.5,2021-10-04,0.0
126.0,452.0,1.53,2.5,2021-05-31,0.0
125.0,152.0,2.0,1.72,2008-07-14,0.0
34.0,131.0,1.18,4.5,2019-02-18,0.0
83.0,373.0,1.28,3.5,2013-07-22,1.0
92.0,97.0,3.25,1.33,2011-04-04,1.0
63.0,87.0,1.66,2.1,2016-10-24,0.0
13.0,39.0,1.36,3.0,2010-01-18,1.0
10.0,79.0,1.2,4.33,2015-06-15,1.0
15.0,29.0,3.25,1.33,2010-11-01,1.0
8.0,91.0,1.16,5.0,2012-03-08,1.0
39.0,134.0,1.36,3.0,2018-09-24,0.0
16.0,136.0,1.08,8.0,2012-04-09,0.0
17.0,97.0,1.03,11.0,2008-06-23,0.0
35.0,93.0,2.62,1.44,2014-06-09,1.0
60.0,101.0,1.8,1.9,2010-03-24,1.0
125.0,222.0,1.44,2.62,2010-07-12,0.0
35.0,40.0,1.36,3.0,2018-12-31,1.0
8.0,53.0,1.07,9.0,2014-05-26,0.0
84.0,197.0,1.2,4.33,2009-02-09,0.0
69.0,110.0,1.61,2.2,2008-08-17,1.0
18.0,79.0,1.9,1.8,2020-02-17,0.0
10.0,82.0,1.33,3.25,2019-10-21,0.0
9.0,97.0,1.12,5.5,2006-09-11,0.0
11.0,28.0,1.61,2.3,2018-01-15,0.0
23.0,113.0,1.16,5.0,2019-02-25,0.0
59.0,74.0,1.57,2.25,2007-08-19,0.0
32.0,77.0,1.16,5.0,2020-10-19,0.0
45.0,61.0,1.44,2.75,2021-08-02,0.0
99.0,151.0,1.57,2.37,2022-02-14,1.0
10.0,20.0,1.28,3.5,2012-08-27,1.0
